TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer																																																																																																																																																																									
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType																																																																																																																																																																									
DATA	GE2_107_Sep09 (Read Only)	29/09/2009 17:04	Agilent Technologies Scanner G2505C US10020348	2	04-20-2011 11:40:45	5	5	a6b42c92-f233-40bc-992b-d73ccd42288c	1	014850_D_F_20100430	30/04/2010 00:00	1	1	532	85	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	251485065459_1_2		D:\Theres\New Folder (2)\\US10020348_251485065459_S01.tif	US10020348_251485065459_S01	97573846-87b5-44f9-a86a-c2d71ffb6354	014850_D_F_20100430.xml	20/04/2011 11:57	rmharev	CHEMSTATION01	10.7.1.1	0	1	0																																																																																																																																																																									
*																																																																																																																																																																																																												
TYPE	float	float	float	integer	integer	float	float	float	integer	integer	float	float	float	float	float	float	integer	float	float	float	integer	float	float	integer	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	float	float	integer	integer	float	float	integer	integer	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	integer	float	float	float	float	float	float	float	float	integer	integer	integer	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	float	integer	text	integer	integer	float	float	float	float	boolean	float	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	rDarkOffsetAverage	rDarkOffsetMedian	rDarkOffsetStdDev	rDarkOffsetNumPts	rSaturationValue	gAvgSig2BkgeQC	rAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	rAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	rRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	rNumSatFeat	rLocalBGInlierNetAve	rLocalBGInlierAve	rLocalBGInlierSDev	rLocalBGInlierNum	rGlobalBGInlierAve	rGlobalBGInlierSDev	rGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	rNumFeatureNonUnifOL	rNumPopnOL	rNumNonUnifBGOL	rNumPopnBGOL	rOffsetUsed	rGlobalFeatInlierAve	rGlobalFeatInlierSDev	rGlobalFeatInlierNum	AllColorPrcntSat	AnyColorPrcntSat	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gLinearDyeNormFactor	gRMSLowessDNF	rNumNegBGSubFeat	rNonCtrlNumNegFeatBGSubSig	rLinearDyeNormFactor	rRMSLowessDNF	DyeNormDimensionlessRMS	DyeNormUnitWeightedRMS	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	rSpatialDetrendRMSFit	rSpatialDetrendRMSFilteredMinusFit	rSpatialDetrendSurfaceArea	rSpatialDetrendVolume	rSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	rNonCtrlNumSatFeat	rNonCtrl99PrcntNetSig	rNonCtrl50PrcntNetSig	rNonCtrl1PrcntNetSig	rNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow1	geQCSig2BkgLow2	rCtrleQCNumSatFeat	rCtrleQC99PrcntNetSig	rCtrleQC50PrcntNetSig	rCtrleQC1PrcntNetSig	reQCMedPrcntCVBGSubSig	reQCSig2BkgLow1	reQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	rNegCtrlNumInliers	rNegCtrlAveNetSig	rNegCtrlSDevNetSig	rNegCtrlAveBGSubSig	rNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	rAveNumPixOLLo	rAveNumPixOLHi	rPixCVofHighSignalFeat	rNumHighSignalFeat	NonCtrlAbsAveLogRatio	NonCtrlSDevLogRatio	NonCtrlSNRLogRatio	eQCAbsAveLogRatio	eQCSDevLogRatio	eQCSNRLogRatio	AddErrorEstimateGreen	AddErrorEstimateRed	TotalNumFeatures	NonCtrlNumUpReg	NonCtrlNumDownReg	eQCObsVsExpLRSlope	eQCObsVsExpLRIntercept	eQCObsVsExpCorr	NumIsNorm	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	rMultDetrendRMSFit	gMultDetrendSurfaceAverage	rMultDetrendSurfaceAverage	eQCLowSigName1	eQCLowSigName2	gNonCtrl50PrcntBGSubSig	rNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	rCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	rMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	reQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	rOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	rOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	rOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	rOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	rPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	rNonCtrlNumWellAboveBG	UpRandomnessRatio	DownRandomnessRatio	UpRandomnessSDRatio	DownRandomnessSDRatio	GridHasBeenOptimized	gNegCtrlSpread	rNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_rNegCtrlAveBGSubSig	Metric_rNegCtrlAveBGSubSig_IsInRange	Metric_rNegCtrlSDevBGSubSig	Metric_rNegCtrlSDevBGSubSig_IsInRange	Metric_gNonCntrlMedCVBkSubSignal	Metric_gNonCntrlMedCVBkSubSignal_IsInRange	Metric_rNonCntrlMedCVBkSubSignal	Metric_rNonCntrlMedCVBkSubSignal_IsInRange	Metric_gE1aMedCVBkSubSignal	Metric_gE1aMedCVBkSubSignal_IsInRange	Metric_rE1aMedCVBkSubSignal	Metric_rE1aMedCVBkSubSignal_IsInRange	Metric_absE1aObsVsExpCorr	Metric_absE1aObsVsExpCorr_IsInRange	Metric_absE1aObsVsExpSlope	Metric_absE1aObsVsExpSlope_IsInRange
DATA	19.3755	19.3755	1.31928	0	779634	18.8365	18.8365	1.17732	0	778945	65.4519	97.6416	0.960378	1.03043	68.1522	94.7583	0	26.3859	45.7614	2.78942	44426	45.7614	2.78942	44426	0	38.0393	56.8758	2.95063	43902	56.8758	2.95063	43902	3	79	0	589	19.3755	1821.3	7914.44	44933	6	90	21	1113	18.8365	4769.5	23638.7	44919	0	0	0.0133289	0.0466511	0.326558	3.72098	0.0138325	6208	5247	1.82857	7.48495	5285	4317	0.774148	8.00989	0.0956705	0.0564382	1.16213	2.1228	1.00014	3.49168	46.1807	0.681	2.87985	1.00037	2.68648	60.0992	0	39207.3	65.7038	22.6578	13.5658	0	102849	133.83	36.2469	13.3237	0	8147.83	650.953	51.7038	13.4867	4.87026	2.23913	0	16130	1752.8	109.46	12.8966	2.94098	6.95414	151	25.0772	1.96777	-1.71499	1.68216	149	38.83	2.49933	-2.41041	2.37617	0.152705	1.22824	0.11145	3088	0.106653	1.38081	0.128146	4500	0.126272	0.0470814	9.38309	0.470361	0.0146144	47.7464	3.88169	2.22943	45015	3054	2241	0.93257	0.0234739	0.995186	8003	4.37969	7.61844	0.798485	0.76341	37504	0	0.341176	0.114618	0.112837	1.00786	1.00723	(+)E1A_r60_n11	(+)E1A_r60_a97	38.7944	92.4383	623.674	1711.3	4.86344	4.67127	3.57456	3.72093	861.905	1120.32	54.8486	130.29	131.172	165.207	47.4034	116.254	1.9646	2.48029	0	1	6	41000	798.403	797.875	0	ExtractionInRange	27800	30388	1.14677	1.03349	0.342954	0.379862	0	6.00489	8.33066	1	1	0.013329	1	-1.71499	1	1.68216	1	-2.41041	1	2.37617	1	13.5658	1	13.3237	1	13.4867	1	12.8966	1	0.995186	1	0.93257	1
*																																																																																																																																																																																																												
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	float	float	boolean	boolean	boolean	boolean	float	float	float																																																																																																																																																																		
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	LogRatio	LogRatioError	PValueLogRatio	gProcessedSignal	rProcessedSignal	gProcessedSigError	rProcessedSigError	gMedianSignal	rMedianSignal	gBGMedianSignal	rBGMedianSignal	gBGPixSDev	rBGPixSDev	gIsSaturated	rIsSaturated	gIsFeatNonUnifOL	rIsFeatNonUnifOL	gIsBGNonUnifOL	rIsBGNonUnifOL	gIsFeatPopnOL	rIsFeatPopnOL	gIsBGPopnOL	rIsBGPopnOL	IsManualFlag	gBGSubSignal	rBGSubSignal	gIsPosAndSignif	rIsPosAndSignif	gIsWellAboveBG	rIsWellAboveBG	SpotExtentX	gBGMeanSignal	rBGMeanSignal																																																																																																																																																																		
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	3442.62	209.565	-7.05E-02	6.18E-02	2.53E-01	9.57E+04	8.14E+04	9.57E+03	8.14E+03	44640.5	107906	41	54	7.04E+00	1.26E+01	0	0	0	0	0	0	0	1	0	0	0	45382.4	109275	1	1	1	1	57.5363	41.2327	54.3608																																																																																																																																																																		
DATA	2	1	2	66	1	DarkCorner	DarkCorner	3468.42	209.427	0.00E+00	6.36E-01	1.00E+00	3.89E+00	2.51E+00	3.88E+00	2.50E+00	45	58	43	54	7.34E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	-0.287388	-0.617254	0	0	0	0	57.5363	43.1673	55.3445																																																																																																																																																																		
DATA	3	1	3	66	1	DarkCorner	DarkCorner	3493.58	209.427	0.00E+00	6.36E-01	1.00E+00	3.92E+00	2.53E+00	3.90E+00	2.52E+00	42.5	57.5	43	54	6.87E+00	1.13E+01	0	0	0	0	0	0	0	0	0	0	0	-2.26368	-2.64268	0	0	0	0	65	43.3056	54.7485																																																																																																																																																																		
DATA	4	1	4	66	1	DarkCorner	DarkCorner	3521.15	209.891	0.00E+00	6.36E-01	1.00E+00	3.94E+00	2.54E+00	3.92E+00	2.53E+00	43	57.5	43	53	7.11E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	-0.277518	1.52721	0	0	0	0	65	43.6089	54.2298																																																																																																																																																																		
DATA	5	1	5	66	1	DarkCorner	DarkCorner	3544.42	209.573	0.00E+00	6.36E-01	1.00E+00	3.96E+00	2.55E+00	3.94E+00	2.54E+00	41.5	55	43	52	7.37E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	-2.4601	-3.65569	0	0	0	0	65	43.8036	53.5223																																																																																																																																																																		
