""	"gRaw_arrays_scanner_file2.txt"
"3xSLv1"	86.34640523
"(+)E1A_r60_1"	87.359375
"(+)E1A_r60_3"	88.625
"(+)E1A_r60_a104"	88.328125
"(+)E1A_r60_a107"	86.28125
"(+)E1A_r60_a135"	87.53125
"(+)E1A_r60_a20"	94.578125
"(+)E1A_r60_a22"	103.203125
"(+)E1A_r60_a97"	86.03125
"(+)E1A_r60_n11"	89.703125
"(+)E1A_r60_n9"	89.609375
"(+)eQC-39"	85.4
"(+)eQC-40"	85.35
"(+)eQC-41"	85.7
"(+)eQC-42"	86.25
"A_23_P100001"	1529
"A_23_P100011"	158
"A_23_P100022"	151
"A_23_P100056"	309.5
"A_23_P100074"	1893
"A_23_P100092"	439
"A_23_P100103"	188
"A_23_P100111"	145
"A_23_P100127"	514
"A_23_P100133"	193
"A_23_P100141"	569
"A_23_P100156"	262
"A_23_P100177"	155.5
"A_23_P100189"	120.5
"A_23_P100196"	1204
"A_23_P100203"	2258
"A_23_P100220"	2036.5
"A_23_P100240"	149
"A_23_P10025"	202
"A_23_P100263"	1342
"A_23_P100278"	110.5
"A_23_P100292"	9656
"A_23_P100315"	3180
"A_23_P100326"	4983
"A_23_P100341"	10252
"A_23_P100344"	1868
"A_23_P100355"	3029
"A_23_P100386"	99
"A_23_P100392"	1002.5
"A_23_P100408"	116
"A_23_P100413"	265
"A_23_P100420"	3611.5
"A_23_P100441"	1490.5
"A_23_P100455"	355
"A_23_P100469"	449
"A_23_P100478"	874.5
"A_23_P100486"	11929
"A_23_P100499"	161
"A_23_P100501"	3245
"A_23_P100517"	662
"A_23_P100522"	4815
"A_23_P100539"	416
"A_23_P100556"	724.5
"A_23_P100576"	5526
"A_23_P100583"	102
"A_23_P100595"	106.5
"A_23_P10060"	89.5
"A_23_P100602"	705
"A_23_P10062"	104
"A_23_P100632"	19371
"A_23_P100642"	364
"A_23_P100654"	1131
"A_23_P100660"	4197
"A_23_P100676"	434
"A_23_P100693"	696
"A_23_P100704"	651
"A_23_P100711"	3928.5
"A_23_P100730"	443
"A_23_P100754"	235
"A_23_P100764"	2998
"A_23_P10077"	317
"A_23_P100779"	360.5
